id,producto_id,anio,precio_unitario,subtotal,proveedor,created_at,updated_at
242,242,2025,552.47,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
243,243,2025,582.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
244,244,2025,563.46,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
245,245,2025,563.46,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
246,246,2025,569.59,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
247,247,2025,582.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
248,248,2025,582.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
249,249,2025,578.44,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
250,250,2025,281.90,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
251,251,2025,598.55,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
252,252,2025,607.61,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
253,253,2025,607.61,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
254,254,2025,613.76,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
255,255,2025,613.76,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
256,256,2025,613.76,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
257,257,2025,598.55,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
258,258,2025,598.55,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
259,259,2025,567.83,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
260,260,2025,567.83,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
261,261,2025,563.98,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
262,262,2025,563.98,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
263,263,2025,559.94,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
264,264,2025,559.94,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
265,265,2025,559.94,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
266,266,2025,559.94,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
267,267,2025,380.37,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
268,268,2025,380.37,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
269,269,2025,625.59,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
270,270,2025,625.59,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
271,271,2025,946.76,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
272,272,2025,955.76,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
273,273,2025,948.74,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
274,274,2025,948.74,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
275,275,2025,948.29,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
276,276,2025,948.29,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
277,277,2025,928.72,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
278,278,2025,928.72,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
279,279,2025,928.72,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
280,280,2025,944.03,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
281,281,2025,944.03,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
282,282,2025,944.03,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
283,283,2025,825.98,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
284,284,2025,860.97,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
285,285,2025,860.97,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
286,286,2025,860.97,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
287,287,2025,860.97,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
288,288,2025,860.97,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
289,289,2025,860.97,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
290,290,2025,860.97,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
291,291,2025,642.68,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
292,292,2025,521.51,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
293,293,2025,149.61,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
294,294,2025,276.04,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
295,295,2025,463.57,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
296,296,2025,992.44,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
297,297,2025,992.44,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
298,298,2025,90.74,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
299,299,2025,90.74,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
300,300,2025,90.74,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
301,301,2025,90.74,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
302,302,2025,1214.49,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
303,303,2025,1214.49,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
304,304,2025,1195.18,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
305,305,2025,1195.18,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
306,306,2025,945.14,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
